Usuario_Id,Edad,Genero
24211,50,F
24150,26,F
24164,24,F
24274,46,M
24247,60,M
24057,41,M
24236,24,M
16137,25,F
24252,40,M
23546,29,M
5517,39,M
13437,40,M
11121,25,F
17545,22,M
5701,31,M
2107,38,M
5544,23,M
11606,26,F
16376,29,F
14762,40,F
13643,59,M
24214,26,M
22110,59,M
24332,33,M
2753,20,F
24302,20,M
24175,22,M
24313,25,M
22507,18,M
13456,34,M
2362,53,M
24412,28,M
5002,25,M
5602,26,M
24365,47,M
12007,31,M
314,28,M
24340,26,M
24404,43,M
24217,23,M
5453,26,F
24461,28,M
6140,39,F
24453,48,M
24156,28,M
5062,31,F
24244,30,M
24343,25,M
24310,29,F
24203,23,M
15543,37,M
23477,32,M
24475,58,M
11652,29,M
24536,38,M
24467,23,F
24431,27,M
7114,30,F
16142,23,M
11625,33,F
24506,28,M
6476,29,M
24420,27,M
5241,21,M
11063,38,M
22705,19,M
2420,32,F
23601,27,F
24434,20,M
4205,40,M
24423,29,F
21104,31,F
23502,31,F
10420,23,M
24112,33,F
24450,38,M
24442,25,M
4661,25,M
13720,34,M
1114,23,M
3352,35,F
10115,31,F
21002,44,M
4155,26,F
24426,33,F
24335,41,M
23265,19,F
476,24,M
24555,23,F
2274,29,F
7026,23,M
24566,25,M
24560,30,M
24673,31,M
24370,28,M
24707,32,M
24745,45,M
24753,25,F
10560,50,M
24767,25,M
11237,43,M
24756,41,M
25006,22,M
5563,25,F
24670,25,M
24726,34,M
24131,25,M
24662,30,F
24665,36,M
24676,33,F
24657,34,F
24407,24,M
24715,24,M
6341,28,M
7015,36,F
16775,21,F
24731,18,F
4301,30,M
6105,30,M
25041,32,M
25124,21,M
25066,43,M
3561,30,M
10506,30,F
3165,22,F
15012,24,F
25025,25,M
25116,28,M
25077,18,F
25074,36,F
25033,28,F
25165,31,M
25030,61,M
16464,28,F
10016,35,M
5021,49,M
24547,32,F
11427,30,M
13742,34,F
25000,33,M
25146,25,M
25151,25,M
25267,34,F
25055,26,M
4254,27,M
5712,28,F
25102,30,M
6440,26,F
24563,48,M
22223,31,F
3550,31,F
5266,64,M
24324,27,M
24321,29,F
24472,54,M
3421,48,F
10715,26,M
25275,36,M
25300,28,F
25063,19,M
21665,58,F
2076,28,F
10552,39,M
2621,31,M
25231,45,F
17212,63,F
22537,42,M
10764,26,F
7312,24,M
24503,27,M
24123,34,M
24065,34,F
15111,53,M
24464,34,M
2373,30,M
14363,27,F
25170,33,M
25143,40,M
24120,30,M
25435,26,M
25132,26,F
25432,24,M
24043,32,F
2005,23,M
25416,31,M
24134,43,M
25465,36,F
25322,26,M
25427,30,F
24277,31,M
25207,39,M
25440,26,F
25507,31,M
25022,34,M
25272,66,F
25454,44,M
6507,30,M
24772,26,F
25476,34,M
4554,29,F
1364,23,M
2651,25,M
14561,21,F
24737,26,F
21503,35,F
11655,58,M
25542,51,M
25537,37,M
173,38,M
25622,21,M
25470,22,F
15004,60,M
25644,34,M
25325,31,F
25600,24,M
25641,25,F
15675,37,M
16712,26,F
10035,24,M
25633,20,M
25647,43,M
25713,32,M
25572,33,F
25047,55,M
25523,42,M
25746,60,M
24305,47,M
25674,57,M
25751,28,M
25770,42,M
25757,50,M
2230,26,M
25105,28,F
25765,55,M
25710,23,F
25743,27,M
25677,72,M
22261,35,M
